pattern,threads,time_ms,files_count,unique_tags,top5
sequential,1,110,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
worker_pool,2,42,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
fork_join,2,68,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
map_reduce,2,38,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
worker_pool,4,22,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
fork_join,4,30,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
map_reduce,4,24,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
worker_pool,8,13,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
fork_join,8,14,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
map_reduce,8,17,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
worker_pool,16,16,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
fork_join,16,15,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
map_reduce,16,16,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
sequential,1,587,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
worker_pool,2,36,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
fork_join,2,33,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
map_reduce,2,24,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
worker_pool,4,13,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
fork_join,4,19,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
map_reduce,4,18,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
worker_pool,8,13,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
fork_join,8,12,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
map_reduce,8,10,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
worker_pool,16,8,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
fork_join,16,8,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
map_reduce,16,12,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
sequential,1,130,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
worker_pool,2,48,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
fork_join,2,42,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
map_reduce,2,37,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
worker_pool,4,20,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
fork_join,4,22,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
map_reduce,4,23,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
worker_pool,8,14,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
fork_join,8,13,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
map_reduce,8,13,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
worker_pool,16,11,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
fork_join,16,12,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
map_reduce,16,10,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
sequential,1,114,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
worker_pool,2,33,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
fork_join,2,37,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
map_reduce,2,45,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
worker_pool,4,21,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
fork_join,4,21,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
map_reduce,4,24,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
worker_pool,8,13,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
fork_join,8,13,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
map_reduce,8,13,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
worker_pool,16,10,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
fork_join,16,10,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
map_reduce,16,10,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
sequential,1,103,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
worker_pool,2,34,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
fork_join,2,38,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
map_reduce,2,41,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
worker_pool,4,16,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
fork_join,4,17,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
map_reduce,4,21,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
worker_pool,8,11,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
fork_join,8,10,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
map_reduce,8,10,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
worker_pool,16,8,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
fork_join,16,8,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
map_reduce,16,9,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
sequential,1,99,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
worker_pool,2,39,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
fork_join,2,41,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
map_reduce,2,38,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
worker_pool,4,21,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
fork_join,4,28,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
map_reduce,4,22,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
worker_pool,8,13,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
fork_join,8,15,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
map_reduce,8,14,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
worker_pool,16,11,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
fork_join,16,9,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
map_reduce,16,10,1000,27,p=15191; a=9606; td=6432; span=4937; li=4860
