pattern,threads,time_ms,size,checksum
sequential,1,67,400,-116874.0753
worker_pool,2,50,400,-116874.0753
fork_join,2,26,400,-116874.0753
map_reduce,2,34,400,-116874.0753
worker_pool,4,12,400,-116874.0753
fork_join,4,12,400,-116874.0753
map_reduce,4,13,400,-116874.0753
worker_pool,8,7,400,-116874.0753
fork_join,8,8,400,-116874.0753
map_reduce,8,7,400,-116874.0753
worker_pool,16,7,400,-116874.0753
fork_join,16,7,400,-116874.0753
map_reduce,16,7,400,-116874.0753
sequential,1,43,400,-116874.0753
worker_pool,2,49,400,-116874.0753
fork_join,2,18,400,-116874.0753
map_reduce,2,21,400,-116874.0753
worker_pool,4,9,400,-116874.0753
fork_join,4,14,400,-116874.0753
map_reduce,4,9,400,-116874.0753
worker_pool,8,7,400,-116874.0753
fork_join,8,7,400,-116874.0753
map_reduce,8,7,400,-116874.0753
worker_pool,16,6,400,-116874.0753
fork_join,16,6,400,-116874.0753
map_reduce,16,7,400,-116874.0753
sequential,1,57,400,-116874.0753
worker_pool,2,43,400,-116874.0753
fork_join,2,15,400,-116874.0753
map_reduce,2,27,400,-116874.0753
worker_pool,4,10,400,-116874.0753
fork_join,4,10,400,-116874.0753
map_reduce,4,9,400,-116874.0753
worker_pool,8,6,400,-116874.0753
fork_join,8,7,400,-116874.0753
map_reduce,8,8,400,-116874.0753
worker_pool,16,6,400,-116874.0753
fork_join,16,5,400,-116874.0753
map_reduce,16,6,400,-116874.0753
sequential,1,72,400,-116874.0753
worker_pool,2,52,400,-116874.0753
fork_join,2,19,400,-116874.0753
map_reduce,2,25,400,-116874.0753
worker_pool,4,10,400,-116874.0753
fork_join,4,12,400,-116874.0753
map_reduce,4,13,400,-116874.0753
worker_pool,8,6,400,-116874.0753
fork_join,8,8,400,-116874.0753
map_reduce,8,7,400,-116874.0753
worker_pool,16,7,400,-116874.0753
fork_join,16,7,400,-116874.0753
map_reduce,16,7,400,-116874.0753
sequential,1,42,400,-116874.0753
worker_pool,2,49,400,-116874.0753
fork_join,2,24,400,-116874.0753
map_reduce,2,28,400,-116874.0753
worker_pool,4,12,400,-116874.0753
fork_join,4,19,400,-116874.0753
map_reduce,4,11,400,-116874.0753
worker_pool,8,8,400,-116874.0753
fork_join,8,6,400,-116874.0753
map_reduce,8,7,400,-116874.0753
worker_pool,16,6,400,-116874.0753
fork_join,16,6,400,-116874.0753
map_reduce,16,6,400,-116874.0753
sequential,1,51,400,-116874.0753
worker_pool,2,49,400,-116874.0753
fork_join,2,20,400,-116874.0753
map_reduce,2,30,400,-116874.0753
worker_pool,4,12,400,-116874.0753
fork_join,4,21,400,-116874.0753
map_reduce,4,10,400,-116874.0753
worker_pool,8,8,400,-116874.0753
fork_join,8,8,400,-116874.0753
map_reduce,8,8,400,-116874.0753
worker_pool,16,6,400,-116874.0753
fork_join,16,6,400,-116874.0753
map_reduce,16,6,400,-116874.0753
