pattern,threads,time_ms,min,max,average,median,size
sequential,1,132,-999999.9923,999995.7316,193.0390,399.5637,1000000
worker_pool,2,82,-999999.9923,999995.7316,193.0390,399.5637,1000000
fork_join,2,26,-999999.9923,999995.7316,193.0390,399.5637,1000000
map_reduce,2,25,-999999.9923,999995.7316,193.0390,399.5637,1000000
worker_pool,4,22,-999999.9923,999995.7316,193.0390,399.5637,1000000
fork_join,4,23,-999999.9923,999995.7316,193.0390,399.5637,1000000
map_reduce,4,24,-999999.9923,999995.7316,193.0390,399.5637,1000000
worker_pool,8,21,-999999.9923,999995.7316,193.0390,399.5637,1000000
fork_join,8,26,-999999.9923,999995.7316,193.0390,399.5637,1000000
map_reduce,8,21,-999999.9923,999995.7316,193.0390,399.5637,1000000
worker_pool,16,21,-999999.9923,999995.7316,193.0390,399.5637,1000000
fork_join,16,20,-999999.9923,999995.7316,193.0390,399.5637,1000000
map_reduce,16,21,-999999.9923,999995.7316,193.0390,399.5637,1000000
sequential,1,139,-999999.9923,999995.7316,193.0390,399.5637,1000000
worker_pool,2,77,-999999.9923,999995.7316,193.0390,399.5637,1000000
fork_join,2,26,-999999.9923,999995.7316,193.0390,399.5637,1000000
map_reduce,2,21,-999999.9923,999995.7316,193.0390,399.5637,1000000
worker_pool,4,22,-999999.9923,999995.7316,193.0390,399.5637,1000000
fork_join,4,28,-999999.9923,999995.7316,193.0390,399.5637,1000000
map_reduce,4,23,-999999.9923,999995.7316,193.0390,399.5637,1000000
worker_pool,8,19,-999999.9923,999995.7316,193.0390,399.5637,1000000
fork_join,8,20,-999999.9923,999995.7316,193.0390,399.5637,1000000
map_reduce,8,18,-999999.9923,999995.7316,193.0390,399.5637,1000000
worker_pool,16,60,-999999.9923,999995.7316,193.0390,399.5637,1000000
fork_join,16,38,-999999.9923,999995.7316,193.0390,399.5637,1000000
map_reduce,16,66,-999999.9923,999995.7316,193.0390,399.5637,1000000
sequential,1,153,-999999.9923,999995.7316,193.0390,399.5637,1000000
worker_pool,2,78,-999999.9923,999995.7316,193.0390,399.5637,1000000
fork_join,2,25,-999999.9923,999995.7316,193.0390,399.5637,1000000
map_reduce,2,23,-999999.9923,999995.7316,193.0390,399.5637,1000000
worker_pool,4,23,-999999.9923,999995.7316,193.0390,399.5637,1000000
fork_join,4,23,-999999.9923,999995.7316,193.0390,399.5637,1000000
map_reduce,4,27,-999999.9923,999995.7316,193.0390,399.5637,1000000
worker_pool,8,27,-999999.9923,999995.7316,193.0390,399.5637,1000000
fork_join,8,26,-999999.9923,999995.7316,193.0390,399.5637,1000000
map_reduce,8,23,-999999.9923,999995.7316,193.0390,399.5637,1000000
worker_pool,16,22,-999999.9923,999995.7316,193.0390,399.5637,1000000
fork_join,16,21,-999999.9923,999995.7316,193.0390,399.5637,1000000
map_reduce,16,21,-999999.9923,999995.7316,193.0390,399.5637,1000000
sequential,1,112,-999999.9923,999995.7316,193.0390,399.5637,1000000
worker_pool,2,64,-999999.9923,999995.7316,193.0390,399.5637,1000000
fork_join,2,19,-999999.9923,999995.7316,193.0390,399.5637,1000000
map_reduce,2,19,-999999.9923,999995.7316,193.0390,399.5637,1000000
worker_pool,4,18,-999999.9923,999995.7316,193.0390,399.5637,1000000
fork_join,4,14,-999999.9923,999995.7316,193.0390,399.5637,1000000
map_reduce,4,15,-999999.9923,999995.7316,193.0390,399.5637,1000000
worker_pool,8,14,-999999.9923,999995.7316,193.0390,399.5637,1000000
fork_join,8,12,-999999.9923,999995.7316,193.0390,399.5637,1000000
map_reduce,8,12,-999999.9923,999995.7316,193.0390,399.5637,1000000
worker_pool,16,12,-999999.9923,999995.7316,193.0390,399.5637,1000000
fork_join,16,12,-999999.9923,999995.7316,193.0390,399.5637,1000000
map_reduce,16,15,-999999.9923,999995.7316,193.0390,399.5637,1000000
