pattern,threads,time_ms,count,premium_count,total_converted_uah,total_cashback_uah,total_final_uah
sequential,1,30,200000,50148,144154316621.2300,2340710165.9100,141813606455.3200
producer_consumer,2,59,200000,50148,144154316621.2300,2340710165.9100,141813606455.3200
pipeline,2,93,200000,50148,144154316621.2300,2340710165.9100,141813606455.3200
producer_consumer,4,46,200000,50148,144154316621.2300,2340710165.9100,141813606455.3200
pipeline,4,83,200000,50148,144154316621.2300,2340710165.9100,141813606455.3200
producer_consumer,8,58,200000,50148,144154316621.2300,2340710165.9100,141813606455.3200
pipeline,8,81,200000,50148,144154316621.2300,2340710165.9100,141813606455.3200
producer_consumer,16,102,200000,50148,144154316621.2300,2340710165.9100,141813606455.3200
pipeline,16,82,200000,50148,144154316621.2300,2340710165.9100,141813606455.3200
sequential,1,209,2000000,499833,1439554030853.7300,23386052081.3200,1416167978772.4800
sequential,1,143,2000000,499833,1439554030853.7300,23386052081.3200,1416167978772.4800
sequential,1,173,2000000,499833,1439554030853.7300,23386052081.3200,1416167978772.4800
producer_consumer,2,285,2000000,499833,1439554030853.7700,23386052081.3200,1416167978772.4000
pipeline,2,633,2000000,499833,1439554030853.7300,23386052081.3200,1416167978772.4800
producer_consumer,4,272,2000000,499833,1439554030853.7600,23386052081.3200,1416167978772.4700
pipeline,4,646,2000000,499833,1439554030853.7300,23386052081.3200,1416167978772.4800
producer_consumer,8,422,2000000,499833,1439554030853.7800,23386052081.3200,1416167978772.4400
pipeline,8,615,2000000,499833,1439554030853.7300,23386052081.3200,1416167978772.4800
producer_consumer,16,762,2000000,499833,1439554030853.7800,23386052081.3200,1416167978772.4400
pipeline,16,610,2000000,499833,1439554030853.7300,23386052081.3200,1416167978772.4800
sequential,1,174,2000000,499833,1439554030853.7300,23386052081.3200,1416167978772.4800
producer_consumer,2,344,2000000,499833,1439554030853.7600,23386052081.3200,1416167978772.4000
pipeline,2,716,2000000,499833,1439554030853.7300,23386052081.3200,1416167978772.4800
producer_consumer,4,267,2000000,499833,1439554030853.7600,23386052081.3200,1416167978772.4700
pipeline,4,659,2000000,499833,1439554030853.7300,23386052081.3200,1416167978772.4800
producer_consumer,8,392,2000000,499833,1439554030853.7800,23386052081.3200,1416167978772.4500
pipeline,8,657,2000000,499833,1439554030853.7300,23386052081.3200,1416167978772.4800
producer_consumer,16,711,2000000,499833,1439554030853.7800,23386052081.3200,1416167978772.4500
pipeline,16,675,2000000,499833,1439554030853.7300,23386052081.3200,1416167978772.4800
sequential,1,148,2000000,499833,1439554030853.7300,23386052081.3200,1416167978772.4800
producer_consumer,2,285,2000000,499833,1439554030853.7700,23386052081.3200,1416167978772.4100
pipeline,2,730,2000000,499833,1439554030853.7300,23386052081.3200,1416167978772.4800
producer_consumer,4,273,2000000,499833,1439554030853.7600,23386052081.3200,1416167978772.4600
pipeline,4,658,2000000,499833,1439554030853.7300,23386052081.3200,1416167978772.4800
producer_consumer,8,382,2000000,499833,1439554030853.7800,23386052081.3200,1416167978772.4500
pipeline,8,586,2000000,499833,1439554030853.7300,23386052081.3200,1416167978772.4800
producer_consumer,16,744,2000000,499833,1439554030853.7800,23386052081.3200,1416167978772.4600
pipeline,16,605,2000000,499833,1439554030853.7300,23386052081.3200,1416167978772.4800
